Term,With subdivisions ǂx etc.,Tag,Left match bib field,Term in MARC
Murui Indians,,[150],650,Murui Indians
Murui language,,[150],650,Murui language
Murui mythology,,[150],650,Murui mythology
Murui sculpture,,[150],650,Murui sculpture
Murunahua Indians,,[150],650,Murunahua Indians
Muscogee (Creek) Nation,,[151],651,Muscogee (Creek) Nation
"Muscogee (Creek) Nation, Oklahoma",,[151],651,"Muscogee (Creek) Nation, Oklahoma"
Muscogee Nation of Florida,,[151],651,Muscogee Nation of Florida
Muscowpetung (First Nation),,[151],651,Muscowpetung (First Nation)
Museums and Indians,,[150],650,Museums and Indians
Mushroom ceremony,,[150],650,Mushroom ceremony
Mushuau Innu First Nation,,[151],651,Mushuau Innu First Nation
Music—Indian influences,y,[150],650,Music ǂx Indian influences
Muskeg Lake Cree Nation,,[151],651,Muskeg Lake Cree Nation
Muskoday First Nation,,[151],651,Muskoday First Nation
Muskogean Indians,,[150],650,Muskogean Indians
Muskogean languages,,[150],650,Muskogean languages
Muskogean mythology,,[150],650,Muskogean mythology
Muskogee-Creek Indian Tribe East of the Mississippi River,,[151],651,Muskogee-Creek Indian Tribe East of the Mississippi River
Muskowekwan (First Nation),,[151],651,Muskowekwan (First Nation)
Muskrat Dam Lake (First Nation),,[151],651,Muskrat Dam Lake (First Nation)
Musqueam First Nation,,[151],651,Musqueam First Nation
Mutsun dialect,,[150],650,Mutsun dialect
Muzo Indians,,[150],650,Muzo Indians
N'Quatqua (First Nation),,[151],651,N'Quatqua (First Nation)
Na-Dene languages,,[150],650,Na-Dene languages
Nadleh Whut'en (First Nation),,[151],651,Nadleh Whut'en (First Nation)
Nagualism,,[150],650,Nagualism
Nahane Indians,,[150],650,Nahane Indians
Nahanni Butte (First Nation),,[151],651,Nahanni Butte (First Nation)
Nahua art,,[150],650,Nahua art
Nahua philosophy,,[150],650,Nahua philosophy
Nahua textile fabrics,,[150],650,Nahua textile fabrics
Nahua weavers,,[150],650,Nahua weavers
Nahua women weavers,,[150],650,Nahua women weavers
Nahuas,,[150],650,Nahuas
Nahuatl drama,,[150],650,Nahuatl drama
Nahuatl imprints,,[150],650,Nahuatl imprints
Nahuatl language,,[150],650,Nahuatl language
Nahuatl literature,,[150],650,Nahuatl literature
Nahuatl philology,,[150],650,Nahuatl philology
Nahuatl poetry,,[150],650,Nahuatl poetry
Naicatchewenin (First Nation),,[151],651,Naicatchewenin (First Nation)
Nain (Inuit community),,[151],651,Nain (Inuit community)
Nak'azdli (First Nation),,[151],651,Nak'azdli (First Nation)
Naknek Native Village,,[151],651,Naknek Native Village
Nambicuara Indians,,[150],650,Nambicuara Indians
Nambicuara language,,[150],650,Nambicuara language
"Names, Athapascan",,[150],650,"Names, Athapascan"
"Names, Aymara",,[150],650,"Names, Aymara"
"Names, Cahita",,[150],650,"Names, Cahita"
"Names, Cahuilla",,[150],650,"Names, Cahuilla"
"Names, Coahuilteco",,[150],650,"Names, Coahuilteco"
"Names, Dakota",,[150],650,"Names, Dakota"
"Names, Delaware",,[150],650,"Names, Delaware"
"Names, Dena'ina",,[150],650,"Names, Dena'ina"
"Names, Geographical—Eskimo",y,[150],650,"Names, Geographical ǂx Eskimo"
"Names, Geographical—Inuit",y,[150],650,"Names, Geographical ǂx Inuit"
"Names, Geographical—Mayan",y,[150],650,"Names, Geographical ǂx Mayan"
"Names, Guarani",,[150],650,"Names, Guarani"
"Names, Indian",,[150],650,"Names, Indian"
"Names, Inuit",,[150],650,"Names, Inuit"
"Names, Koyukon",,[150],650,"Names, Koyukon"
"Names, Kwakiutl",,[150],650,"Names, Kwakiutl"
"Names, Mapuche",,[150],650,"Names, Mapuche"
"Names, Mayan",,[150],650,"Names, Mayan"
"Names, Micmac",,[150],650,"Names, Micmac"
"Names, Mixtec",,[150],650,"Names, Mixtec"
"Names, Nahuatl",,[150],650,"Names, Nahuatl"
"Names, Ojibwa",,[150],650,"Names, Ojibwa"
"Names, Opata",,[150],650,"Names, Opata"
"Names, Osage",,[150],650,"Names, Osage"
"Names, Personal—Indian",y,[150],650,"Names, Personal ǂx Indian"
"Names, Personal—Maya",y,[150],650,"Names, Personal ǂx Maya"
"Names, Quechua",,[150],650,"Names, Quechua"
"Names, Shuar",,[150],650,"Names, Shuar"
"Names, Tupi",,[150],650,"Names, Tupi"
"Names, Tzoneca",,[150],650,"Names, Tzoneca"
"Names, Tzotzil",,[150],650,"Names, Tzotzil"
"Names, Zapotec",,[150],650,"Names, Zapotec"
Namgis First Nation,,[151],651,Namgis First Nation
Nanoose First Nation,,[151],651,Nanoose First Nation
Nansemond Indian Nation,,[151],651,Nansemond Indian Nation
Nansemond Indian Tribe,,[151],651,Nansemond Indian Tribe
Nanticoke Indians,,[150],650,Nanticoke Indians
Nanticoke language,,[150],650,Nanticoke language
Nanticoke Tribe,,[151],651,Nanticoke Tribe
Naotkamegwanning (First Nation),,[151],651,Naotkamegwanning (First Nation)
Narragansett Indian Tribe,,[151],651,Narragansett Indian Tribe
Narragansett Indian Tribe of Rhode Island,,[151],651,Narragansett Indian Tribe of Rhode Island
Narragansett Indians,,[150],650,Narragansett Indians
Narragansett language,,[150],650,Narragansett language
Naskapi Band of Quebec,,[151],651,Naskapi Band of Quebec
Naskapi Indians,,[150],650,Naskapi Indians
Naskapi language,,[150],650,Naskapi language
Naskapi mythology,,[150],650,Naskapi mythology
Naskapi Nation of Kawawachikamach,,[151],651,Naskapi Nation of Kawawachikamach
Naskapis de Schefferville Indian Band,,[151],651,Naskapis de Schefferville Indian Band
Natagaima Indians,,[150],650,Natagaima Indians
Natchesan Indians,,[150],650,Natchesan Indians
Natchesan languages,,[150],650,Natchesan languages
Natchez Indians,,[150],650,Natchez Indians
Natchez language,,[150],650,Natchez language
Nation Anishnabe du Lac Simon,,[151],651,Nation Anishnabe du Lac Simon
Nation Huronne Wendat,,[151],651,Nation Huronne Wendat
Nation Innu Matimekush-Lac John,,[151],651,Nation Innu Matimekush-Lac John
Nation Métis Québec,,[151],651,Nation Métis Québec
Nation Micmac de Gespeg,,[151],651,Nation Micmac de Gespeg
National American Indian Heritage Month,,[150],650,National American Indian Heritage Month
Native American flute,,[150],650,Native American flute
Native Village of Afognak,,[151],651,Native Village of Afognak
Native Village of Akhiok,,[151],651,Native Village of Akhiok
Native Village of Akutan,,[151],651,Native Village of Akutan
Native Village of Aleknagik,,[151],651,Native Village of Aleknagik
Native Village of Ambler,,[151],651,Native Village of Ambler
Native Village of Atka,,[151],651,Native Village of Atka
Native Village of Atqasuk,,[151],651,Native Village of Atqasuk
Native Village of Barrow,,[151],651,Native Village of Barrow
Native Village of Barrow Inupiat Traditional Government,,[151],651,Native Village of Barrow Inupiat Traditional Government
Native Village of Belkofski,,[151],651,Native Village of Belkofski
Native Village of Brevig Mission,,[151],651,Native Village of Brevig Mission
Native Village of Buckland,,[151],651,Native Village of Buckland
Native Village of Cantwell,,[151],651,Native Village of Cantwell
Native Village of Chanega,,[151],651,Native Village of Chanega
Native Village of Chignik,,[151],651,Native Village of Chignik
Native Village of Chignik Lagoon,,[151],651,Native Village of Chignik Lagoon
Native Village of Chistochina,,[151],651,Native Village of Chistochina
Native Village of Chitina,,[151],651,Native Village of Chitina
"Native Village of Chuathbaluk (Russian Mission, Kuskokwim)",,[151],651,"Native Village of Chuathbaluk (Russian Mission, Kuskokwim)"
Native Village of Council,,[151],651,Native Village of Council
Native Village of Deering,,[151],651,Native Village of Deering
Native Village of Dillingham,,[151],651,Native Village of Dillingham
Native Village of Diomede,,[151],651,Native Village of Diomede
Native Village of Eagle,,[151],651,Native Village of Eagle
Native Village of Eek,,[151],651,Native Village of Eek
Native Village of Ekuk,,[151],651,Native Village of Ekuk
Native Village of Elim,,[151],651,Native Village of Elim
Native Village of Eyak,,[151],651,Native Village of Eyak
Native Village of False Pass,,[151],651,Native Village of False Pass
Native Village of Fort Yukon,,[151],651,Native Village of Fort Yukon
Native Village of Gakona,,[151],651,Native Village of Gakona
Native Village of Gambell,,[151],651,Native Village of Gambell
Native Village of Georgetown,,[151],651,Native Village of Georgetown
Native Village of Goodnews Bay,,[151],651,Native Village of Goodnews Bay
Native Village of Hamilton,,[151],651,Native Village of Hamilton
Native Village of Hooper Bay,,[151],651,Native Village of Hooper Bay
Native Village of Kanatak,,[151],651,Native Village of Kanatak
Native Village of Karluk,,[151],651,Native Village of Karluk
Native Village of Kasigluk,,[151],651,Native Village of Kasigluk
Native Village of Kiana,,[151],651,Native Village of Kiana
Native Village of Kipnuk,,[151],651,Native Village of Kipnuk
Native Village of Kivalina,,[151],651,Native Village of Kivalina
Native Village of Kluti Kaah,,[151],651,Native Village of Kluti Kaah
Native Village of Kobuk,,[151],651,Native Village of Kobuk
Native Village of Kongiganak,,[151],651,Native Village of Kongiganak
Native Village of Kotzebue,,[151],651,Native Village of Kotzebue
Native Village of Koyuk,,[151],651,Native Village of Koyuk
Native Village of Kwigillingok,,[151],651,Native Village of Kwigillingok
Native Village of Kwinhagak,,[151],651,Native Village of Kwinhagak
Native Village of Larsen Bay,,[151],651,Native Village of Larsen Bay
Native Village of Marshall,,[151],651,Native Village of Marshall
Native Village of Mary's Igloo,,[151],651,Native Village of Mary's Igloo
Native Village of Mekoryuk,,[151],651,Native Village of Mekoryuk
Native Village of Minto,,[151],651,Native Village of Minto
Native Village of Mountain Village,,[151],651,Native Village of Mountain Village
Native Village of Nanwalek,,[151],651,Native Village of Nanwalek
Native Village of Napaimute,,[151],651,Native Village of Napaimute
Native Village of Napakiak,,[151],651,Native Village of Napakiak
Native Village of Napaskiak,,[151],651,Native Village of Napaskiak
Native Village of Nelson Lagoon,,[151],651,Native Village of Nelson Lagoon
Native Village of Nightmute,,[151],651,Native Village of Nightmute
Native Village of Nikolski,,[151],651,Native Village of Nikolski
Native Village of Noatak,,[151],651,Native Village of Noatak
Native Village of Nuiqsut,,[151],651,Native Village of Nuiqsut
Native Village of Nunam Iqua,,[151],651,Native Village of Nunam Iqua
Native Village of Nunapitchuk,,[151],651,Native Village of Nunapitchuk
Native Village of Old Harbor,,[151],651,Native Village of Old Harbor
Native Village of Ouzinkie,,[151],651,Native Village of Ouzinkie
Native Village of Paimiut,,[151],651,Native Village of Paimiut
Native Village of Perryville,,[151],651,Native Village of Perryville
Native Village of Pilot Point,,[151],651,Native Village of Pilot Point
Native Village of Pitka's Point,,[151],651,Native Village of Pitka's Point
Native Village of Point Hope,,[151],651,Native Village of Point Hope
Native Village of Point Lay,,[151],651,Native Village of Point Lay
Native Village of Port Graham,,[151],651,Native Village of Port Graham
Native Village of Port Heiden,,[151],651,Native Village of Port Heiden
Native Village of Port Lions,,[151],651,Native Village of Port Lions
Native Village of Ruby,,[151],651,Native Village of Ruby
Native Village of Russian Mission,,[151],651,Native Village of Russian Mission
Native Village of Saint Michael,,[151],651,Native Village of Saint Michael
Native Village of Savoonga,,[151],651,Native Village of Savoonga
Native Village of Scammon Bay,,[151],651,Native Village of Scammon Bay
Native Village of Selawik,,[151],651,Native Village of Selawik
Native Village of Shaktoolik,,[151],651,Native Village of Shaktoolik
Native Village of Sheldon's Point,,[151],651,Native Village of Sheldon's Point
Native Village of Shishmaref,,[151],651,Native Village of Shishmaref
Native Village of Shungnak,,[151],651,Native Village of Shungnak
Native Village of Stevens,,[151],651,Native Village of Stevens
Native Village of Tanacross,,[151],651,Native Village of Tanacross
Native Village of Tanana,,[151],651,Native Village of Tanana
Native Village of Tatitlek,,[151],651,Native Village of Tatitlek
Native Village of Tazlina,,[151],651,Native Village of Tazlina
Native Village of Teller,,[151],651,Native Village of Teller
Native Village of Tetlin,,[151],651,Native Village of Tetlin
Native Village of Toksook Bay,,[151],651,Native Village of Toksook Bay
Native Village of Tuntutuliak,,[151],651,Native Village of Tuntutuliak
Native Village of Tununak,,[151],651,Native Village of Tununak
Native Village of Tyonek,,[151],651,Native Village of Tyonek
Native Village of Unalakleet,,[151],651,Native Village of Unalakleet
Native Village of Unga,,[151],651,Native Village of Unga
Native Village of Venetie Tribal Government,,[151],651,Native Village of Venetie Tribal Government
Native Village of Wales,,[151],651,Native Village of Wales
Native Village of White Mountain,,[151],651,Native Village of White Mountain
Naukan (Russia),,[151],651,Naukan (Russia)
Naukan Yupik language,,[150],650,Naukan Yupik language
Nauset Indians,,[150],650,Nauset Indians
Navajo architecture,,[150],650,Navajo architecture
Navajo art,,[150],650,Navajo art
Navajo arts,,[150],650,Navajo arts
Navajo astronomy,,[150],650,Navajo astronomy
Navajo baskets,,[150],650,Navajo baskets
Navajo beadwork,,[150],650,Navajo beadwork
Navajo business enterprises,,[150],650,Navajo business enterprises
Navajo children,,[150],650,Navajo children
Navajo code talkers,,[150],650,Navajo code talkers
Navajo cooking,,[150],650,Navajo cooking
Navajo cosmology,,[150],650,Navajo cosmology
Navajo courts,,[150],650,Navajo courts
Navajo dance,,[150],650,Navajo dance
Navajo Indian Reservation,,[151],651,Navajo Indian Reservation
Navajo Indians,,[150],650,Navajo Indians
Navajo Indians in art,,[150],650,Navajo Indians in art
Navajo Indians in literature,,[150],650,Navajo Indians in literature
Navajo Indians with disabilities,,[150],650,Navajo Indians with disabilities
Navajo language,,[150],650,Navajo language
"Navajo Long Walk, 1863-1867",,[150],650,"Navajo Long Walk, 1863-1867"
Navajo masks,,[150],650,Navajo masks
Navajo mythology,,[150],650,Navajo mythology
"Navajo Nation, Arizona, New Mexico & Utah",,[151],651,"Navajo Nation, Arizona, New Mexico & Utah"
Navajo painting,,[150],650,Navajo painting
Navajo philosophy,,[150],650,Navajo philosophy
Navajo pottery,,[150],650,Navajo pottery
Navajo silverwork,,[150],650,Navajo silverwork
Navajo textile fabrics,,[150],650,Navajo textile fabrics
"Navajo Tribe of Arizona, New Mexico & Utah",,[151],651,"Navajo Tribe of Arizona, New Mexico & Utah"
Navajo veterans,,[150],650,Navajo veterans
Navajo women,,[150],650,Navajo women
Nazca culture,,[150],650,Nazca culture
Nazko First Nation,,[151],651,Nazko First Nation
Nee-Tahi-Buhn (First Nation),,[151],651,Nee-Tahi-Buhn (First Nation)
Neets'aii Gwich'in Indians,,[150],650,Neets'aii Gwich'in Indians
Nehalem Indians,,[150],650,Nehalem Indians
Nekaneet (First Nation),,[151],651,Nekaneet (First Nation)
Nenana Native Association,,[151],651,Nenana Native Association
Neskantaga First Nation,,[151],651,Neskantaga First Nation
Neskonlith (First Nation),,[151],651,Neskonlith (First Nation)
Nespelim Indians,,[150],650,Nespelim Indians
Netsilik Eskimo children,,[150],650,Netsilik Eskimo children
Netsilik Eskimos,,[150],650,Netsilik Eskimos
Neutral Nation Indians,,[150],650,Neutral Nation Indians
"New England—History—French and Indian War, 1754-1763",y,[151],651,"New England ǂx History ǂy French and Indian War, 1754-1763"
New Koliganek Village Council,,[151],651,New Koliganek Village Council
New Post First Nation,,[151],651,New Post First Nation
New River language,,[150],650,New River language
New Stuyahok Village,,[151],651,New Stuyahok Village
New Westminster (First Nation),,[151],651,New Westminster (First Nation)
"New York (State)—History—French and Indian War, 1754-1763",y,[151],651,"New York (State) ǂx History ǂy French and Indian War, 1754-1763"
New York Indian Reserve (Kan.),,[151],651,New York Indian Reserve (Kan.)
Newhalen Village,,[151],651,Newhalen Village
Newtok Village,,[151],651,Newtok Village
Neyaashiinigmiing Indian Reserve No. 27 (Ont.),,[151],651,Neyaashiinigmiing Indian Reserve No. 27 (Ont.)
Nez Percé art,,[150],650,Nez Percé art
Nez Percé Indian Reservation (Idaho),,[151],651,Nez Percé Indian Reservation (Idaho)
Nez Percé Indians,,[150],650,Nez Percé Indians
Nez Percé language,,[150],650,Nez Percé language
Nez Percé mythology,,[150],650,Nez Percé mythology
Nez Perce Tribe,,[151],651,Nez Perce Tribe
Nez Perce Tribe of Idaho,,[151],651,Nez Perce Tribe of Idaho
"Nez Perce Tribe, Idaho",,[151],651,"Nez Perce Tribe, Idaho"
Nez Percé women,,[150],650,Nez Percé women
Niantic Indians,,[150],650,Niantic Indians
Nibinamik First Nation,,[151],651,Nibinamik First Nation
Nicarao Indians,,[150],650,Nicarao Indians
Nicoleño Indians,,[150],650,Nicoleño Indians
Nicomen (First Nation),,[151],651,Nicomen (First Nation)
Night Chant (Navajo rite),,[150],650,Night Chant (Navajo rite)
Nigigoonsiminikaaning First Nation,,[151],651,Nigigoonsiminikaaning First Nation
Niharondasa Seneca,,[151],651,Niharondasa Seneca
Nikolai Village,,[151],651,Nikolai Village
Ninilchik Village,,[151],651,Ninilchik Village
Nipissing First Nation,,[151],651,Nipissing First Nation
Nipissing Indians,,[150],650,Nipissing Indians
Nipissing language,,[150],650,Nipissing language
Nipmuc Indians,,[150],650,Nipmuc Indians
Nisenan Indians,,[150],650,Nisenan Indians
Nisenan language,,[150],650,Nisenan language
Nisga'a Village of Gingolx,,[151],651,Nisga'a Village of Gingolx
Nisga'a Village of Gitwinksihlkw,,[151],651,Nisga'a Village of Gitwinksihlkw
Nisga'a Village of Laxgalt'sap,,[151],651,Nisga'a Village of Laxgalt'sap
Nisga'a Village of New Aiyansh,,[151],651,Nisga'a Village of New Aiyansh
Nisichawayasihk Cree Nation,,[151],651,Nisichawayasihk Cree Nation
Niska Indians,,[150],650,Niska Indians
Niska language,,[150],650,Niska language
Niska mythology,,[150],650,Niska mythology
Niska sculpture,,[150],650,Niska sculpture
Niska wood-carving,,[150],650,Niska wood-carving
Nisqually dialect,,[150],650,Nisqually dialect
"Nisqually Indian Community of the Nisqually Reservation, Washington",,[151],651,"Nisqually Indian Community of the Nisqually Reservation, Washington"
Nisqually Indian Tribe,,[151],651,Nisqually Indian Tribe
"Nisqually Indian Tribe of the Nisqually Reservation, Washington",,[151],651,"Nisqually Indian Tribe of the Nisqually Reservation, Washington"
Nisqually Indians,,[150],650,Nisqually Indians
Nisqually Reservation (Wash.),,[151],651,Nisqually Reservation (Wash.)
Noble savage stereotype,,[150],650,Noble savage stereotype
Nobscusset Indians,,[150],650,Nobscusset Indians
Noisy Pawnee Tribe,,[151],651,Noisy Pawnee Tribe
Nomatsiguenga language,,[150],650,Nomatsiguenga language
Nome Eskimo Community,,[151],651,Nome Eskimo Community
Nomlaki Indians,,[150],650,Nomlaki Indians
Nondalton Village,,[151],651,Nondalton Village
Nooaitch (First Nation),,[151],651,Nooaitch (First Nation)
Nooksack Indian Tribe of Washington,,[151],651,Nooksack Indian Tribe of Washington
Nooksack Indians,,[150],650,Nooksack Indians
Nooksack language,,[150],650,Nooksack language
Noorvik Native Community,,[151],651,Noorvik Native Community
Norridgewock Indians,,[150],650,Norridgewock Indians
Norridgewock Tribe,,[151],651,Norridgewock Tribe
North America—Civilization—Indian influences,y,[151],651,North America ǂx Civilization ǂx Indian influences
North Caribou Lake (First Nation),,[151],651,North Caribou Lake (First Nation)
"North Carolina—History—French and Indian War, 1754-1763",y,[151],651,"North Carolina ǂx History ǂy French and Indian War, 1754-1763"
North Spirit Lake (First Nation),,[151],651,North Spirit Lake (First Nation)
Northern Arapaho Tribe,,[151],651,Northern Arapaho Tribe
Northern Cheyenne Indian Reservation (Mont.),,[151],651,Northern Cheyenne Indian Reservation (Mont.)
"Northern Cheyenne Tribe of the Northern Cheyenne Indian Reservation, Montana",,[151],651,"Northern Cheyenne Tribe of the Northern Cheyenne Indian Reservation, Montana"
Northern Paiute Indians,,[150],650,Northern Paiute Indians
Northern Paiute language,,[150],650,Northern Paiute language
Northlands (First Nation),,[151],651,Northlands (First Nation)
Northway Village,,[151],651,Northway Village
Northwest Angle No. 33 (First Nation),,[151],651,Northwest Angle No. 33 (First Nation)
Northwest Angle No. 37 (First Nation),,[151],651,Northwest Angle No. 37 (First Nation)
Northwest Bay First Nation,,[151],651,Northwest Bay First Nation
Northwest Territory Métis Nation,,[151],651,Northwest Territory Métis Nation
Northwestern Band of Shoshoni Nation,,[151],651,Northwestern Band of Shoshoni Nation
Northwestern Band of Shoshoni Nation of Utah (Washakie),,[151],651,Northwestern Band of Shoshoni Nation of Utah (Washakie)
Northwestern Band of the Shoshone Nation,,[151],651,Northwestern Band of the Shoshone Nation
Norway House Cree Nation,,[151],651,Norway House Cree Nation
"Nottawaseppi Huron Band of the Potawatomi, Michigan",,[151],651,"Nottawaseppi Huron Band of the Potawatomi, Michigan"
Ntlakyapamuk Indians,,[150],650,Ntlakyapamuk Indians
Ntlakyapamuk language,,[150],650,Ntlakyapamuk language
Ntlakyapamuk mythology,,[150],650,Ntlakyapamuk mythology
Nuchatlaht (First Nation),,[151],651,Nuchatlaht (First Nation)
Nukak Indians,,[150],650,Nukak Indians
Nulato Village,,[151],651,Nulato Village
Numic Indians,,[150],650,Numic Indians
Numic languages,,[150],650,Numic languages
Numic mythology,,[150],650,Numic mythology
Nunakauyarmiut Tribe,,[151],651,Nunakauyarmiut Tribe
Nunamiut Eskimo masks,,[150],650,Nunamiut Eskimo masks
Nunamiut Eskimos,,[150],650,Nunamiut Eskimos
Nunatsiavut,,[151],651,Nunatsiavut
NunatuKavut,,[151],651,NunatuKavut
Nunavut—Antiquities,y,[151],651,Nunavut ǂx Antiquities
Nunguvik Site (Nunavut),,[151],651,Nunguvik Site (Nunavut)
Nuu-chah-nulth baskets,,[150],650,Nuu-chah-nulth baskets
Nuu-chah-nulth Indians,,[150],650,Nuu-chah-nulth Indians
Nuu-chah-nulth language,,[150],650,Nuu-chah-nulth language
Nuu-chah-nulth mythology,,[150],650,Nuu-chah-nulth mythology
Nuu-chah-nulth women,,[150],650,Nuu-chah-nulth women
Nuxalk art,,[150],650,Nuxalk art
Nuxalk Indians,,[150],650,Nuxalk Indians
Nuxalk language,,[150],650,Nuxalk language
Nuxalk masks,,[150],650,Nuxalk masks
Nuxalk mythology,,[150],650,Nuxalk mythology
Nuxalk Nation,,[151],651,Nuxalk Nation
O-Chi-Chak-Ko-Sipi First Nation,,[151],651,O-Chi-Chak-Ko-Sipi First Nation
O-kee-pa (Religious ceremony),,[150],650,O-kee-pa (Religious ceremony)
O-Pipon-Na-Piwin Cree Nation,,[151],651,O-Pipon-Na-Piwin Cree Nation
O'Chiese (First Nation),,[151],651,O'Chiese (First Nation)
O'Connor Site (B.C.),,[151],651,O'Connor Site (B.C.)
Obashkaandagaang (First Nation),,[151],651,Obashkaandagaang (First Nation)
Ocaina Indians,,[150],650,Ocaina Indians
Ocaina language,,[150],650,Ocaina language
Occaneechi Band of the Saponi Nation,,[151],651,Occaneechi Band of the Saponi Nation
Occaneechi Indians,,[150],650,Occaneechi Indians
Ocean Man (First Nation),,[151],651,Ocean Man (First Nation)
Ochapowace (First Nation),,[151],651,Ochapowace (First Nation)
Ochiichagwe'babigo'ining First Nation,,[151],651,Ochiichagwe'babigo'ining First Nation
Ocloya Indians,,[150],650,Ocloya Indians
Odanak (First Nation),,[151],651,Odanak (First Nation)
Off-reservation boarding schools,,[150],650,Off-reservation boarding schools
Off-reservation casinos,,[150],650,Off-reservation casinos
Off-reservation Indians,,[150],650,Off-reservation Indians
Ofo language,,[150],650,Ofo language
Oglala calendar,,[150],650,Oglala calendar
Oglala dance,,[150],650,Oglala dance
Oglala Indians,,[150],650,Oglala Indians
Oglala mythology,,[150],650,Oglala mythology
Oglala philosophy,,[150],650,Oglala philosophy
Oglala Sioux Tribe,,[151],651,Oglala Sioux Tribe
"Oglala Sioux Tribe of the Pine Ridge Reservation, South Dakota",,[151],651,"Oglala Sioux Tribe of the Pine Ridge Reservation, South Dakota"
Oglala women,,[150],650,Oglala women
"Ohkay Owingeh, New Mexico",,[151],651,"Ohkay Owingeh, New Mexico"
Ohlone cosmology,,[150],650,Ohlone cosmology
Ohlone Indians,,[150],650,Ohlone Indians
Ohlone language,,[150],650,Ohlone language
Oil Spring Reservation (N.Y.),,[151],651,Oil Spring Reservation (N.Y.)
Ojibwa art,,[150],650,Ojibwa art
Ojibwa astronomy,,[150],650,Ojibwa astronomy
Ojibwa baskets,,[150],650,Ojibwa baskets
Ojibwa beadwork,,[150],650,Ojibwa beadwork
Ojibwa business enterprises,,[150],650,Ojibwa business enterprises
Ojibwa children,,[150],650,Ojibwa children
Ojibwa dance,,[150],650,Ojibwa dance
Ojibwa Indians,,[150],650,Ojibwa Indians
Ojibwa language,,[150],650,Ojibwa language
Ojibwa mythology,,[150],650,Ojibwa mythology
Ojibwa painting,,[150],650,Ojibwa painting
Ojibwa philosophy,,[150],650,Ojibwa philosophy
Ojibwa women,,[150],650,Ojibwa women
Ojibway Nation of Saugeen,,[151],651,Ojibway Nation of Saugeen
Ojibways of Onigaming First Nation,,[151],651,Ojibways of Onigaming First Nation
Ojibways of Sucker Creek,,[151],651,Ojibways of Sucker Creek
Ojibways of the Pic River First Nation,,[151],651,Ojibways of the Pic River First Nation
Ojo de Dios (Talisman),,[150],650,Ojo de Dios (Talisman)
Okanagan (First Nation),,[151],651,Okanagan (First Nation)
Okanagan Indians,,[150],650,Okanagan Indians
Okanagan language,,[150],650,Okanagan language
Okanese (First Nation),,[151],651,Okanese (First Nation)
"Old Fort Niagara (N.Y.)—Siege, 1759",y,[151],651,"Old Fort Niagara (N.Y.) ǂx Siege, 1759"
Old Massett Village Council,,[151],651,Old Massett Village Council
Older Chickasaw Indians,,[150],650,Older Chickasaw Indians
Older Chipewyan Indians,,[150],650,Older Chipewyan Indians
Older Choctaw Indians,,[150],650,Older Choctaw Indians
Older Dakota Indians,,[150],650,Older Dakota Indians
Older Eskimos,,[150],650,Older Eskimos
Older Gwich'in Indians,,[150],650,Older Gwich'in Indians
Older Incas,,[150],650,Older Incas
Older Indians,,[150],650,Older Indians
Older Inuit,,[150],650,Older Inuit
Older Kootenai Indians,,[150],650,Older Kootenai Indians
Older Laguna Indians,,[150],650,Older Laguna Indians
Older Métis,,[150],650,Older Métis
Older Navajo Indians,,[150],650,Older Navajo Indians
Older Ojibwa Indians,,[150],650,Older Ojibwa Indians
Older Pueblo Indians,,[150],650,Older Pueblo Indians
Older Salish Indians,,[150],650,Older Salish Indians
Older Seneca Indians,,[150],650,Older Seneca Indians
Older Taos Indians,,[150],650,Older Taos Indians
Older Yupik Eskimos,,[150],650,Older Yupik Eskimos
Olmec architecture,,[150],650,Olmec architecture
Olmec art,,[150],650,Olmec art
Olmec pottery,,[150],650,Olmec pottery
Olmecs,,[150],650,Olmecs
Omagua Indians (Ecuador and Peru),,[150],650,Omagua Indians (Ecuador and Peru)
Omagua Indians (Tupi),,[150],650,Omagua Indians (Tupi)
Omaha children,,[150],650,Omaha children
Omaha dance,,[150],650,Omaha dance
Omaha dialect,,[150],650,Omaha dialect
Omaha Indian Reservation (Neb.),,[151],651,Omaha Indian Reservation (Neb.)
Omaha Indians,,[150],650,Omaha Indians
Omaha Tribe of Nebraska,,[151],651,Omaha Tribe of Nebraska
Omaha weapons,,[150],650,Omaha weapons
Omaha-Ponca language,,[150],650,Omaha-Ponca language
Ona Indians,,[150],650,Ona Indians
Ona language,,[150],650,Ona language
Ona mythology,,[150],650,Ona mythology
One Arrow First Nation,,[151],651,One Arrow First Nation
Oneida (First Nation),,[151],651,Oneida (First Nation)
Oneida Indian Nation,,[151],651,Oneida Indian Nation
Oneida Indians,,[150],650,Oneida Indians
Oneida language,,[150],650,Oneida language
Oneida mythology,,[150],650,Oneida mythology
Oneida Nation,,[151],651,Oneida Nation
Oneida Nation of New York,,[151],651,Oneida Nation of New York
Oneida Nation of the Thames,,[151],651,Oneida Nation of the Thames
Oneida Reservation (Wis.),,[151],651,Oneida Reservation (Wis.)
Oneida Tribe of Indians of Wisconsin,,[151],651,Oneida Tribe of Indians of Wisconsin
Oneota Indians (Great Plains),,[150],650,Oneota Indians (Great Plains)
Onion Lake Cree Nation,,[151],651,Onion Lake Cree Nation
Onondaga Clear Sky,,[151],651,Onondaga Clear Sky
Onondaga Indian Reservation (N.Y.),,[151],651,Onondaga Indian Reservation (N.Y.)
